2017-08-28 08:59:47
emg0,emg1,emg2,emg3,emg4,emg5,emg6,emg7
-128,0,1,3,20,7,4,1
-128,1,0,-5,-7,-2,-1,-1
-128,-3,-3,19,16,-10,-5,-5
-128,-2,-7,-36,-12,7,-1,-2
-128,0,-1,13,-4,-11,-2,0
-128,4,1,4,2,7,3,0
-128,-19,0,-8,-12,2,-1,-2
-128,11,2,27,25,-1,-2,0
-128,-6,-3,-4,-5,-1,1,-1
-128,-4,-2,4,6,-2,-2,-2
-128,2,3,2,-7,-6,-1,-1
-128,-6,-4,-14,-8,0,-2,-3
-128,4,-2,-11,-6,0,0,-2
-128,1,0,16,-1,-5,-2,-2
-128,3,-2,-7,3,3,-1,-1
-128,-9,-3,-2,1,4,0,-1
-128,7,-2,0,2,2,-1,0
-128,-11,-2,-5,-5,-3,-1,-1
-128,5,3,21,3,-1,-2,-1
-128,-3,-6,-34,-23,-14,-4,-1
-128,-4,-3,-15,-5,2,-1,-1
-128,3,2,12,1,0,-2,-2
-128,-7,-1,-4,-6,-7,0,0
-128,0,3,22,11,-2,-1,-2
-128,6,-1,-4,-12,2,1,-1
-128,-1,-2,-11,7,-3,-5,-2
-128,0,-1,8,11,-4,-1,0
-128,-8,2,1,-15,0,0,-2
-128,4,-5,0,15,4,1,-1
-128,10,3,-2,1,-1,-1,1
-128,-14,-6,-12,-12,-1,-2,-2
-128,-1,0,9,10,2,0,1
-128,-4,1,6,-4,-6,-4,-1
-128,2,0,-5,-18,-1,2,0
-128,5,-1,-22,12,-1,-2,-2
-128,0,1,6,-4,3,3,1
-128,0,3,18,6,1,-1,-2
-128,-1,-1,-6,-17,-4,-1,0
-128,-2,0,4,23,5,-1,-1
-128,-5,-2,1,0,-4,-3,-2
-128,-2,1,-2,-2,-6,-1,-1
-128,1,0,0,0,4,2,0
-128,3,0,-6,-11,4,2,1
-128,-1,0,5,-2,-9,-5,-1
-128,-11,-7,-21,-14,1,0,0
-128,-1,-6,-4,15,2,0,-2
-128,0,0,0,-14,-1,0,-2
-128,1,-1,4,9,9,2,-1
-128,3,2,6,4,-6,-3,-1
-128,-7,-2,13,6,-1,-2,-2
-128,-7,-2,-18,-18,-3,0,-2
-128,4,0,6,4,-2,-2,-5
-128,1,2,18,1,-1,-2,-1
-128,-1,-8,-39,3,2,0,-2
-128,2,1,11,0,2,-1,-1
-128,-7,-1,1,4,-3,0,1
-128,-1,-4,-12,-9,2,1,4
-128,2,2,13,4,-5,-5,-2
-128,-4,-1,-3,-10,-5,-3,-1
-128,-6,-2,-5,3,3,0,-1
-128,4,0,-5,-4,-2,1,-2
-128,2,-3,1,-6,-5,0,1
